ISO3, country, income_level, region
CHE,Switzerland,High income,Europe
SYR,Syrian Arab Republic,Low income,Eastern Mediterranean
TJK,Tajikistan,Lower middle income,Europe
TZA,Tanzania,Lower middle income,Africa
THA,Thailand,Upper middle income,
TLS,Timor-Leste,Lower middle income,
TGO,Togo,Low income,Africa
TON,Tonga,Upper middle income,Western Pacific
TTO,Trinidad and Tobago,High income,America
TUN,Tunisia,Lower middle income,Eastern Mediterranean
TUR,Turkey,Upper middle income,Europe
TKM,Turkmenistan,Upper middle income,Europe
TCA,Turks and Caicos Islands,High income,America
TUV,Tuvalu,Upper middle income,Western Pacific
UGA,Uganda,Low income,Africa
UKR,Ukraine,Lower middle income,Europe
ARE,United Arab Emirates,High income,Eastern Mediterranean
GBR,United Kingdom,High income,Europe
USA ,United States,High income,America
URY,Uruguay,High income,America
UZB,Uzbekistan,Lower middle income,Europe
VUT,Vanuatu,Lower middle income,Western Pacific
VNM,Vietnam,Lower middle income,Western Pacific
VIR,Virgin Islands (U.S.),High income,America
YEM,"Yemen, Rep.",Low income,Eastern Mediterranean
ZMB,Zambia,Lower middle income,Africa
ZWE,Zimbabwe,Lower middle income,Africa
GUF,Frech Guiana,High income,America
VEN,Venezuela,Upper middle income,America
